"V1" "V2" "V3"
"59" 2.34569383498152e-08 0.999999976543062 9.20579085056606e-115
"60" 9.35325719270613e-13 0.999999999999065 1.71848228664088e-56
"61" 1.27269450322891e-09 0.999999998727305 1.81584989637442e-139
"62" 1.9692123409598e-09 0.999999998030788 7.84742992712399e-60
"63" 1.07052937277879e-11 0.999999999989295 2.79455103078732e-67
"64" 1.05615914274072e-09 0.999999998943841 1.36780734583746e-72
"65" 1.99572362041626e-11 0.999999999980043 1.68846203727993e-45
"66" 3.05584938229895e-13 0.999999999999694 7.29377528608135e-59
"67" 4.13877001627306e-06 0.999995861229984 4.75639555134412e-76
"68" 3.42096718326222e-09 0.999999996579033 2.76929467770829e-54
"69" 2.17734146632999e-10 0.999999999782266 1.57662845979656e-90
"70" 7.26362637003946e-10 0.999999999273637 4.66601779220005e-77
"71" 2.71805967140269e-08 0.999999972819403 8.01037847316168e-83
"72" 1.8447907278936e-11 0.999999999981552 3.06504184142393e-59
"73" 1.88040861976592e-12 0.99999999999812 2.90144494084103e-104
"74" 8.35774347369629e-12 0.999999999991642 1.01658546643283e-95
"75" 4.52788493371791e-05 0.999954721150663 7.15602988989444e-80
"76" 1.05031974554858e-10 0.999999999894968 9.19709586998544e-80
"77" 6.91992096610433e-10 0.999999999308008 4.02580655566719e-108
"78" 3.66056052490115e-07 0.999999633943947 9.0782938084011e-113
"79" 7.35552336715151e-08 0.999999926444766 4.80280255439047e-94
"80" 7.87911973039769e-08 0.999999921208803 2.87271402783197e-78
"81" 1.01573191731415e-07 0.999999898426808 1.12913537665375e-73
"82" 1.43489105701788e-12 0.999999999998565 1.47791159040812e-80
"83" 6.96478735971753e-15 0.999999999999993 3.0994911841818e-87
"84" 7.19744680762261e-12 0.999999999992803 4.39728484327284e-121
"85" 1.18892849285794e-11 0.999999999988111 7.19659614581285e-64
"86" 1.34220741024511e-10 0.999999999865779 2.23141159595515e-76
"87" 2.89763917998109e-12 0.999999999997102 1.89253680341668e-58
"88" 4.95037849927142e-10 0.999999999504962 2.58399123671181e-78
"89" 5.51150919307141e-10 0.999999999448849 6.44974001546578e-62
"90" 2.10368105152362e-12 0.999999999997896 1.94668246356865e-105
"91" 3.66372089948292e-10 0.999999999633628 2.82042471543305e-149
"92" 8.88613000200004e-11 0.999999999911139 1.02670392541782e-129
"93" 1.70110765347715e-13 0.99999999999983 2.84639086788578e-123
"94" 3.17243017431595e-10 0.999999999682757 9.1031722798013e-100
"95" 5.996123794e-14 0.99999999999994 3.42520441857103e-87
"96" 2.12418941229089e-09 0.999999997875811 2.04063825059025e-107
"97" 2.95525721327852e-11 0.999999999970448 1.68099509522469e-74
"98" 1.22137093597344e-06 0.999998778629064 9.28817822338861e-147
"99" 1.53230821346716e-08 0.999999984676918 3.39455248179583e-76
"100" 1.77108394833308e-07 0.999999822891605 5.39565989218688e-98
"101" 3.35754139264183e-09 0.999999996642459 2.41727452000985e-64
"102" 0.999999999870562 1.29438356480219e-10 4.78158650733721e-60
"103" 1 1.36900744557243e-37 1.29865213287328e-27
"104" 1 3.83713933919742e-18 4.1137314160298e-130
"105" 1 3.81451534590569e-16 3.14814740948981e-181
"106" 1 8.37976804284572e-60 2.15406980432264e-93
"107" 1 2.36082223800797e-47 8.19739085078233e-63
"108" 1 8.82325375441997e-19 1.70715978780677e-23
"109" 0.999999975641617 9.26450612245313e-32 2.43583829493138e-08
"110" 1 9.55490884143478e-159 0
"111" 0.999999999999933 6.68625910663034e-14 7.44481858033862e-49
"112" 0.9999999999307 5.73320224185007e-32 6.93003469477531e-11
"113" 1 4.22421239625836e-16 1.0669246696775e-98
"114" 0.999999999647883 4.94212058566306e-28 3.52116892458483e-10
"115" 1 1.43440110383894e-18 1.52703390903208e-21
